ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
3510,38,12,61,91330,3,0.9,3,0,0,0,0,0,0
1129,30,5,171,94025,2,1.9,2,0,1,0,0,0,0
1637,65,39,100,92122,4,1.7,3,0,0,0,0,0,1
3165,28,4,82,95136,4,0.0,1,0,0,0,0,1,1
3563,32,8,169,94596,1,6.5,3,272,1,1,1,1,0
1169,62,37,38,91706,1,1.1,3,0,0,0,0,1,0
643,50,24,103,94132,1,0.3,1,0,0,0,0,1,0
3776,32,6,31,90275,2,2.0,3,0,0,0,0,1,1
4271,45,19,19,93117,3,1.5,1,94,0,0,0,1,1
4610,54,28,80,95006,4,2.6,3,143,0,0,0,0,0
3103,49,25,30,90095,4,0.9,2,0,0,0,0,0,1
1486,34,9,99,90245,4,2.2,2,155,0,0,0,1,0
3575,56,30,64,95123,3,0.3,2,0,0,0,0,0,1
4060,53,27,39,91330,4,1.5,3,0,0,0,0,1,0
3835,48,22,28,94720,1,1.4,3,75,0,0,0,1,0
3665,48,24,43,91791,3,1.9,2,0,0,0,0,1,0
1473,34,8,8,94710,3,0.1,2,83,0,0,0,1,0
4440,33,7,104,94542,2,3.6,3,0,1,0,0,0,1
3493,35,9,28,94546,1,0.6,3,0,0,0,0,0,1
2321,46,22,84,92692,4,2.0,3,0,0,0,0,1,0
3124,44,17,22,94546,3,1.0,2,126,0,0,0,1,1
4341,34,10,92,90024,2,2.7,1,0,0,1,1,0,1
121,54,29,12,90057,2,0.2,3,0,0,0,0,1,0
1015,50,26,192,90245,2,1.8,3,301,1,0,1,1,1
4539,51,24,85,94305,3,2.0,2,0,0,0,0,0,0
470,48,23,10,94609,2,0.7,3,0,0,0,0,1,1
1463,47,21,15,95207,4,0.6,3,77,0,0,0,1,0
4640,51,25,33,92866,3,0.9,3,0,0,0,0,1,1
4352,30,3,32,94132,1,2.0,2,0,0,0,0,1,1
4370,50,25,19,94005,4,0.4,2,103,0,0,0,1,1
3014,45,21,183,90029,2,1.4,1,0,0,0,0,1,1
2459,46,20,72,93108,2,0.8,3,0,0,0,0,1,1
3536,52,27,65,92104,1,1.2,1,0,0,0,0,1,1
3246,47,22,81,90009,4,3.6,3,0,0,0,0,1,1
4209,56,32,58,95064,1,1.8,3,241,0,0,0,1,0
3229,27,2,45,94305,2,1.7,2,0,0,0,0,0,1
1785,54,29,119,91355,3,2.0,1,0,1,1,1,0,0
2247,35,11,190,92093,3,3.1,2,266,1,0,0,0,0
1799,44,20,185,94086,3,2.7,1,0,1,0,0,1,0
359,30,6,141,94539,2,4.33,1,0,0,0,0,1,0
315,63,37,45,93437,2,0.7,3,0,0,0,0,1,0
3803,31,7,10,95616,4,0.7,2,0,0,0,0,1,0
3343,38,13,84,91330,3,1.2,3,121,0,0,0,1,1
3198,34,10,29,93555,1,1.5,2,0,0,0,0,1,0
455,50,24,29,94110,3,0.9,3,0,0,0,0,0,0
522,48,24,75,92518,4,1.4,2,0,0,0,0,1,0
4372,64,39,13,90024,4,0.6,2,0,0,0,0,1,0
2406,57,32,13,94588,4,0.9,2,78,0,1,0,1,0
421,47,22,58,93105,4,3.6,3,0,0,0,0,1,1
2633,50,24,81,94720,1,4.9,1,248,0,0,0,1,0
3584,30,3,33,95112,4,1.5,2,85,0,0,0,0,0
4810,43,19,32,94501,3,0.6,2,0,0,0,0,0,0
508,64,40,32,91380,3,0.1,3,0,0,0,0,1,0
