Question,Answer
What is the title of the report?,Sample Financial Report
Who approves WIPO's Financial Regulations?,The General Assembly approves the Financial Regulations.
Who establishes WIPO's Financial Rules?,The Director General establishes the Financial Rules.
To whom is the implementation of Financial Regulations delegated?,The Controller.
How often does the Director General present a Program and Budget?,Every two years.
When was the Program and Budget for the 2020/21 biennium approved?,It was approved in October 2019.
Who approves the Program and Budget presented by the Director General?,The Assemblies of the Member States of WIPO.
What planning framework does the Program and Budget form part of?,It forms part of WIPO's Medium-Term Strategic Plan.
What system does WIPO use to align resources with results?,A Results-Based Management system.
How is organizational performance measured?,Through performance indicators targets and baselines.
What does the Risk Management Policy define?,It defines WIPO's approach to managing risks and internal controls.
What manual complements WIPO's Risk Management Policy?,The Risk and Internal Control Management Manual.
What do the policy and manual collectively represent?,WIPO's Risk Management Framework.
Who are financial reports important to?,"Management, investors, creditors  and shareholders."
What is one key reason financial reports are important?,"They provide information for planning, analyzing  and decision making."
What do financial reports show about a company?,"Its economic resources and claims,  including liabilities and owner's equity."
What do financial reports inform shareholders about?,Changes in a company's resources and claims over time.
What is the planning period for WIPO's Medium-Term Strategic Plan?,The biennium within the overall strategic context.
What are included in WIPO's planning framework besides the Program and Budget?,Annual work plans and individual staff objectives.
Which section discusses respondent data?,The section titled Demographic Distribution of Respondents
