,0,1,2,3,4,5
0,Research and development,$ 27,$ 23,$ 12,$ 79,$ 49
1,"Sales, general and administrative",$ 16,$ 16,$ 6,$ 51,$ 57
2,(B) Stock-based compensation consists of the following:,,,,,
3,,Three Months,Three Months,Three Months,Twelve Months Ended,Twelve Months Ended
4,,"January 26,","October 27,","January 28,","January 26,","January 28,"
5,,2025,2024,2024,2025,2024
6,Cost of revenue,$ 53,$ 50,$ 45,$ 178,$ 141
7,Research and development,$ 955,$ 910,$ 706,"$ 3,423","$ 2,532"
8,"Sales, general and administrative",$ 313,$ 292,$ 242,"$ 1,136",$ 876
9,(C) Other consists of IP-related costs and assets held for sale related adjustments,(C) Other consists of IP-related costs and assets held for sale related adjustments,(C) Other consists of IP-related costs and assets held for sale related adjustments,(C) Other consists of IP-related costs and assets held for sale related adjustments,(C) Other consists of IP-related costs and assets held for sale related adjustments,(C) Other consists of IP-related costs and assets held for sale related adjustments
10,"(E) Reflects a ten-for-one stock split on June 7, 2024","(E) Reflects a ten-for-one stock split on June 7, 2024","(E) Reflects a ten-for-one stock split on June 7, 2024","(E) Reflects a ten-for-one stock split on June 7, 2024","(E) Reflects a ten-for-one stock split on June 7, 2024","(E) Reflects a ten-for-one stock split on June 7, 2024"
