,,"Three Months Ended.January 26, 2025","Three Months Ended.January 28, 2024","Twelve Months Ended.January 26, 2025","Twelve Months Ended.January 28, 2024"
0,Revenue,"$ 39,331","$ 22,103","$ 130,497","$ 60,922"
1,Cost of revenue,"10,608","5,312","32,639","16,621"
2,Gross profit,"28,723","16,791","97,858","44,301"
3,Operating expenses,,,,
4,Research and development,"3,714","2,465","12,914","8,675"
5,"Sales, general and administrative",975,711,"3,491","2,654"
6,Total operating expenses,"4,689","3,176","16,405","11,329"
7,Operating income,"24,034","13,615","81,453","32,972"
8,Interest income,511,294,"1,786",866
9,Interest expense,(61),(63),(247),(257)
10,"Other, net",733,260,"1,034",237
11,"Other income (expense), net","1,183",491,"2,573",846
12,Income before income tax,"25,217","14,106","84,026","33,818"
13,Income tax expense,"3,126","1,821","11,146","4,058"
14,Net income,"$ 22,091","$ 12,285","$ 72,880","$ 29,760"
15,Net income per share:,,,,
16,Basic,$ 0.90,$ 0.51,$ 2.97,$ 1.21
17,Diluted,$ 0.89,$ 0.49,$ 2.94,$ 1.19
18,Weighted average shares used in per share computation:,,,,
19,Basic,"24,489","24,660","24,555","24,690"
20,Diluted,"24,706","24,900","24,804","24,940"
