,0,1,2,3,4
0,Payments related to repurchases of common stock,"(7,810)","(2,660)","(33,706)","(9,533)"
1,Payments related to tax on restricted stock units,"(1,861)",(841),"(6,930)","(2,783)"
2,Repayment of debt,-,-,"(1,250)","(1,250)"
3,Dividends paid,(245),(99),(834),(395)
4,Principal payments on property and equipment and intangible assets,(32),(29),(129),(74)
5,Other,-,-,-,(1)
6,Net cash used in financing activities,"(9,948)","(3,629)","(42,359)","(13,633)"
7,"Change in cash, cash equivalents, and restricted cash",(518),"1,761","1,309","3,891"
8,"Cash, cash equivalents, and restricted cash at beginning of period","9,107","5,519","7,280","3,389"
9,"Cash, cash equivalents, and restricted cash at end of period","$ 8,589","$ 7,280","$ 8,589","$ 7,280"
10,Supplemental disclosures of cash flow information:,,,,
11,"Cash paid for income taxes, net","$ 4,129","$ 1,874","$ 15,118","$ 6,549"
12,Cash paid for interest,$ 22,$ 26,$ 246,$ 252
