lifestyle,"रिलायन्स जिओने बाजारात आपला फोन लाँच केल्यावर एकच खळबळ उडाली होती . ग्राहकांना या फोनच्या ऑनलाइन बुकिंगवर अक्षरशः उड्या पडल्या होत्या . त्यामुळे कंपनीने आपले बुकिंग काही काळासाठी थांबवले होते . मात्र आता कंपनीने पुन्हा एकदा आपल्या ग्राहकांना आनंदाची बातमी दिली आहे . रिलायन्स जिओचा फीचर फोन खरेदी करण्याची पुन्हा एकदा संधी ग्राहकांना मिळणार आहे . या फोनच्या दुसऱ्या फेजची प्री - बुकिंग दिवाळीनंतर सुरु होणार आहे . ‘पीटीआय’ने दिलेल्या वृत्तानुसार , दिवाळीनंतर पुन्हा एकदा जिओफोनची प्री बुकिंग वेबसाइट किंवा जवळच्या जिओ स्टोअरमध्ये करता येणार आहे . या फेजमध्ये नोंदणी करण्यात आलेले फोन नोव्हेंबर महिन्यापर्यंत ग्राहकांना मिळण्याची शक्यता आहे . याआधी झालेल्या पहिल्या बुकिंगमधील फोनची सध्या डिलिव्हरी सुरु आहे . याआधी २४ ऑगस्ट रोजी जिओफोनच्या पहिल्या फेजमधील बुकिंग सुरु झाले होते . ज्यामध्ये पहिल्या तीन दिवसांतच लाखो लोकांनी प्री - बुकिंग केलं होतं . या फोनसाठी दीड हजार रुपये डिपॉझिट घेण्यात येणार आहे . प्री - बुकिंगसाठी ५०० रुपये दिल्यानंतर उर्वरित हजार रुपये फोन डिलिव्हरीच्या वेळेस द्यावे लागणार आहेत . कंपनीच्या माहितीनुसार , हा फोन युजर्सने तीन वर्षे म्हणजेच ३६ महिने वापरल्यास ते दीड हजार रुपये त्याला परत देण्यात येणार आहेत ."
sports,"साखळी गटात आघाडीचे स्थान घेणाऱ्या सनरायझर्स हैदराबादला हरवले तरच चेन्नई सुपर किंग्ज संघाचे इंडियन प्रीमिअर लीगच्या प्लेऑफमधील स्थान निश्चित होणार आहे . त्या दृष्टीनेच येथे रविवारी होणाऱ्या लढतीबाबत उत्कंठा निर्माण झाली आहे . हैदराबादने आतापर्यंत झालेल्या अकरा सामन्यांमध्ये अठरा गुणांसह अव्वल स्थान घेतले आहे . चेन्नईने तेवढय़ाच सामन्यांमध्ये चौदा गुण मिळवले आहेत . शुक्रवारी राजस्थान रॉयल्स संघाने चेन्नईला पराभवाचा धक्का दिल्यामुळे त्यांना प्लेऑफसाठी आज सर्वोच्च कौशल्य दाखवावे लागणार आहे . राजस्थानविरुद्ध झालेल्या पराभवाचे खापर कर्णधार महेंद्रसिंग धोनीने गोलंदाजांवर फोडले होते . त्यांचा अनुभवी गोलंदाज हरभजनसिंगने केवळ दोन षटकांमध्ये २९ धावा दिल्या होत्या . त्यामुळे उर्वरित दोन षटके टाकण्यासाठी त्याला संधी देण्याचे धाडस धोनी दाखवू शकला नाही . चेन्नईच्या फलंदाजीची मुख्य मदार शेन वॉटसन , अंबाती रायुडू , सुरेश रैना , ड्वेन ब्राव्हो , फॅफ डय़ु प्लेसिस , ध्रुव शौरी तसेच धोनी यांच्यावर आहे . राजस्थानविरुद्ध त्यांना अपेक्षेइतका दोनशे धावांचा टप्पा गाठता आला नव्हता . हैदराबादविरुद्ध त्यांना दोनशे धावांचे लक्ष्य ठेवावे लागणार आहे . चेन्नईच्या गोलंदाजीची भिस्त हरभजनसिंग , ब्राव्हो , रवींद्र जडेजा , वॉटसन , इम्रान ताहीर , शार्दूल ठाकूर , डेव्हिड विली , कर्ण शर्मा , सॅम बिलिंग्ज यांच्यावर आहे . हैदराबादला शिखर धवन , कर्णधार केन विल्यम्सन , युसूफ पठाण , मनीष पांडे , शकीब अल हसन , वृद्धिमान साह , सचिन बेबी , कालरेस ब्रेथवेट यांच्याकडून चांगल्या फलंदाजीची अपेक्षा आहे . भारताचा द्रुतगती गोलंदाज भुवनेश्वर कुमार हे हैदराबादच्या गोलंदाजीचे मुख्य अस्त्र असणार आहे . त्याच्याबरोबरच सिद्धार्थ कौल , संदीप शर्मा , रशीद खान , शकीब अल हसन यांच्याकडून प्रभावी कामगिरीची आशा आहे . गहुंजे येथील आंतरराष्ट्रीय स्टेडियमवर हा सामना होणार असून खेळपट्टी फलंदाजीस पोषक राहील अशी अपेक्षा आहे . साप्ताहिक सुटीमुळे या सामन्यास प्रेक्षकांचा भरघोस प्रतिसाद मिळेल असा अंदाज आहे ."
sports,"हॉकी इंडियाने २७ व्या सुलतान अझलन शहा हॉकी स्पर्धेसाठी १८ सदस्यीय भारतीय संघाची घोषणा केली आहे . ३ मार्चपासून मलेशियाच्या इपोह शहरात ही स्पर्धा रंगणार आहे . भारतासह या स्पर्धेत ऑस्ट्रेलिया , अर्जेंटिना , इंग्लंड , आयर्लंड आणि यजमान मलेशिया हे संघ सहभागी होणार आहेत . अवश्य वाचा – मी संपलेलो नाही , माझ्यातला ‘सरदार’ अजुनही जागा – सरदार सिंह या स्पर्धेसाठी हॉकी इंडियाने महत्वाच्या खेळाडूंना विश्रांती देत पुन्हा एकदा सरदार सिंहच्या हाती संघाचं नेतृत्व सोपवलं आहे . भारताचा भरवशाचा ड्रॅगफ्लिकर रुपिंदरपाल सिंह , गोलकिपर पी . आर . श्रीजेश यांनाही अझलन शहा चषकासाठी विश्रांती देण्यात आलेली आहे . याजागी निवड समितीने प्रदीप मोर , सुमीत कुमार आणि शैलेंद्र लाक्रा या नवोदीतांना संघात जागा दिली आहे . याचसोबत रमणदीप सिंहला भारतीय संघाचा उप - कर्णधार करण्यात आलं आहे . “न्यूझीलंड दौऱ्याप्रमाणे अझलन शहा चषक हॉकी स्पर्धेतली आम्ही प्रयोग करुन पाहणार आहोत . या कारणासाठी महत्वाच्या खेळाडूंना विश्रांती देऊन तरुण खेळाडूंना संघात जागा देण्याचा निर्णय घेण्यात आला आहे . त्यामुळे आंतरराष्ट्रीय पातळीवर मोठ्या संघांविरुद्ध खेळताना तरुण खेळाडू कसा खेळ करतात हे यातून आम्हाला समजेल , आणि यातूनच महत्वाच्या स्पर्धेसाठी भारतीय संघ उभा केला जाईल . ” भारतीय संघाचे प्रशिक्षक जोर्द मरीन यांनी संघनिवडीवर आपली प्रतिक्रीया दिली . अझलन शहा हॉकी स्पर्धेसाठी असा असेल भारतीय संघ – गोलकिपर – सुरज करकेरा , क्रिशन पाठक बचावफळी – अमित रोहीदास , वरुण कुमार , दिप्सन तिर्की , सुरेंदर कुमार , निलम संजीप सेझ , मनदीप मोर मधली फळी – एस . के . उथप्पा , सरदार सिंह ( कर्णधार ) , सुमीत , निलकांत शर्मा , सिमरनजीत सिंह आघाडीची फळी – गुरजंत सिंह , रमणदीप सिंह ( उप - कर्णधार ) , तलविंदर सिंह , सुमित कुमार ( ज्युनिअर ) , शैलेंद्र लाक्रा"
sports,"नवी दिल्ली : भारतीय क्रिकेट संघाचा कर्णधार विराट कोहली याच्याविरोधात ऑस्ट्रेलियन माध्यमांकडून गरळ ओकण्याचे काम सुरुच असून , आता विराट कोहली हा क्रिकेट विश्वातील डोनाल्ड ट्रम्प असल्याचे ऑस्ट्रेलियन माध्यमांनी म्हटले आहे . भारत आणि ऑस्ट्रेलिया यांच्यात चार सामन्यांची कसोटी मालिका सुरु आहे . तिसऱ्या सामन्यानंतर दोन्ही संघ 1 - 1 बरोबरीवर आहेत . धर्मशाला येथे होणाऱ्या चौथ्या कसोटी सामन्यानंतर मालिकेचा निकाल लागणार आहे . बंगळूरमध्ये झालेल्या दुसऱ्या कसोटी दरम्यान डीआरएस घेण्यावरून विराट आणि स्मिथ यांच्यात वाद झाला होता . ' द डेली टेलिग्राफ ' या वृत्तपत्रातील स्तंभात ऑस्ट्रेलियन खेळाडूंविषयी चुकीच्या बातम्या पसरवत असल्याचा आरोप विराटवर करण्यात आला आहे . ' अमेरिकेचे अध्यक्ष डोनाल्ड ट्रम्प यांच्याप्रमाणे विराट कोहलीने प्रत्येक गोष्टीसाठी मीडियाला दोषी ठरवायला सुरुवात केली आहे . विराटने आमच्या खेळाडूंबद्दल खोट्या बातम्या पसरविल्या , पण ' बीसीसीआय ' च नव्हे तर ' आयसीसी ' नेही त्याच्यावर कोणतीही कारवाई केली नाही . विराटने प्रसारमाध्यमांना दोषी धरत स्वतःचा चेहरा लपविण्याचा प्रयत्न केला आहे . विराटने खेळातील खिलाडूवृत्तीच संपुष्टात आणली आहे . कसोटीचे कर्णधार खरे तर खिलाडुवृत्तीचे ध्वजवाहक असतात , पण इथे तर ' आयसीसी ' नेच क्रिकेटचा हा पाया उद्ध्वस्त करण्यास प्रोत्साहन दिले आहे . एकप्रकारे क्रिकेट प्रशासकांच्या या धोरणामुळे ‘ट्रम्प’चा उदय होत आहे , ' असे त्या स्तंभात लिहिले आहे . ' विराटने ड्रेसिंग रुममध्ये रागाच्या भरात फेकलेली बाटली ऑस्ट्रेलियाच्या संघ व्यवस्थापनातील सदस्याला लागली ' असा आरोपही या लेखातून करण्यात आला आहे . विराटला विजेता मानण्यासाठी आभार : अमिताभ ऑस्ट्रेलियन माध्यमांकडून विराट कोहलीवर जोरदार टीका होत असताना बॉलिवूड महानायक अमिताभ बच्चन यांनी विराटच्या समर्थनार्थ ट्विट केले आहे . अमिताभ यांनी लिहिले आहे , की ऑस्ट्रेलियन माध्यमे विराटला क्रीडाविश्वातील डोनाल्ड ट्रम्प म्हणत आहेत . त्याला विजेता आणि अध्यक्ष मानण्यासाठी आभार !"
lifestyle,"Reliance Jio Double Dhamaka Offer 1.5GB additional data per day on prepaid recharges : रिलायन्स जिओ दिवसागणिक नवनवीन ऑफर्स जाहीर करत आपल्या ग्राहकांना खुश करण्याचा प्रयत्न करत आहे . त्याचाच एक भाग म्हणून जिओने नुकतीच आणखी एक ऑफर जाहीर केली आहे . यामध्ये जिओ ग्राहकांनी जिओचा कोणताही प्लॅन घेतला तरी त्यावर १ . ५ जीबी डेटा मिळणार आहे . ही ऑफर ३० जूनपर्यंत लागू असेल असे कंपनीकडून सांगण्यात आले आहे . एअरटेलने नुकतीच आपल्या १४९ आणि ३९९ रुपयांच्या प्लॅनवर १ जीबी डेटा देण्याचे जाहीर केल्यानंतर जिओने १ . ५ जीबी देण्याची घोषणा केली आहे . जिओच्या १४९ , ३४९ आणि ३९९ व ४४९ या प्लॅनवर ग्राहकांना रोज ४ जी ३ जीबी डेटा मिळणार आहे . तर ज्यावर आता २ जीबी डेटा मिळतो त्यावर ३ . ५ , ३ जीबी मिळत असेल तर ४ . ५ , ४ जीबी मिळत असल्यास ५ . ५ आणि ५ जीबी असेल तर ६ . ५ जीबी डेटा मिळणार आहे . याबरोबरच जिओने ३०० रुपयांपेक्षा अधिकच्या रिचार्जवर जवळपास १०० रुपयांपर्यंत सूट देण्याची घोषणा केली आहे . सध्या २०० रुपयांच्या रिचार्जवर २० टक्के सूट मिळणार आहे . जिओ अॅपमध्ये रिचार्ज केल्यावरही ही ऑफर मिळू शकणार आहे . याआधीही जिओने इंटरनेटसाठी अनोखे प्लॅन देत आपल्या ग्राहकांना खुश केले होते , त्यात आणखी एक भर पडली आहे . याशिवाय ग्राहकांना जिओकडून लवकरच १ हजार रुपयांच्या आत ब्रॉडबॅंड सेवा उपलब्ध होणार आहे . यात मिळणाऱ्या इंटरनेटला १०० MBPSचा स्पीड असेल . शिवाय फ्री कॉलिंग , लाईव्ह जिओ टिव्ही यांसारख्या अतिरिक्त सुविधादेखील देण्यात येणार आहेत . त्यामुळे या क्षेत्रात असलेल्या इतर कंपन्यांना पुन्हा एकदा कोट्यावधींचे नुकसान होण्याची शक्यता आहे . सध्या त्यांनी ५०० रुपयांत १००GB डेटा हा प्लान काही शहरात प्रायोगिक पातळीवर सुरु केला आहे ."
lifestyle,"आयबॉल कंपनीचा ‘ प्रीमियो व्ही२ . ० ’ हा लॅपटॉप विद्यार्थीवर्गासाठी अतिशय उपयुक्त आहे . दिसायला आकर्षक , साधारण पुरेशी वैशिष्टय़े असलेला हा लॅपटॉप वजनाने हलका आणि हाताळायलाही सहज असा आहे . . सध्याच्या धावत्या जगात अनेक कामे धावतपळतच उरकावी लागतात . किंबहुना ‘मल्टिटास्किंग’ अर्थात एका वेळी एकापेक्षा अधिक कामे हे सध्याच्या जीवनशैलीचे ब्रीद बनले आहे . या धावत्या जीवनशैलीला सहज बनवण्याचे काम करणारी अनेक साधने तंत्रज्ञानाने आपल्याला उपलब्ध करून दिली आहेत . त्यातील एक म्हणजे लॅपटॉप . लॅपटॉप ही आजघडीला साऱ्यांचीच गरज बनली आहे . केवळ प्रवासातच नव्हे तर घरातही लॅपटॉपवर काम करणे सोयीचे बनले आहे . डेस्कटॉप संगणकासाठीच्या फर्निचरमुळे घरातील वा कार्यालयातील बऱ्यापैकी जागा अडवली जाते . तसेच त्याच ठिकाणी बसून आपल्याला काम करावे लागते . याउलट लॅपटॉप घेऊन तुम्ही हवे तेथे बसून आपली कामे करू शकता . त्यामुळे अलीकडे प्रथम संगणक खरेदी करणारेही डेस्कटॉपपेक्षा लॅपटॉपला पसंती देतात . साहजिकच अशा खरेदीदारांत विद्यार्थीवर्ग मोठय़ा प्रमाणावर असतो . बहुधा हाच दृष्टिकोन डोळय़ांसमोर ठेवून ‘आयबॉल’ने ‘कॉम्पबुक प्रीमियो व्ही२ . ०’ हा लॅपटॉप भारतीय बाजारात दाखल केला आहे . ‘प्रीमियो’चे सर्वात महत्त्वाचे वैशिष्टय़ त्याचे देखणेपण आहे . ‘गन मस्टर्ड मेटॅलिक’ रंगांमध्ये रंगलेला प्रीमियो दिसायला अतिशय स्टायलिश वाटतो . १४ इंची असल्यामुळे बॅगेत सहज सामावतो आणि वजनाने हलका असल्याने हातातून वाहून नेतानादेखील अडचण वाटत नाही . मघाशी म्हटल्याप्रमाणे या स्टायलिश रचनेमुळे विद्यार्थ्यांना तो अधिक पसंतीचा वाटू शकतो . या लॅपटॉपला चमकदार प्लास्टिक आवरण असल्याने ओरखडय़ांपासून किंवा हाताच्या ठशांमुळे लॅपटॉपचे बाह्यावरण खराब होण्याची शक्यता नाही . १४ इंचाचा आकार असल्याने यातील कीबोर्डला ‘न्यूमपॅड’ पुरवण्यात आलेला नाही . लॅपटॉपच्या बाजूंवर स्पीकर पुरवण्यात आलेले आहेत . डाव्या बाजूला यूएसबी ३ . ० , मिनी एचडीएमआय आणि पॉवर पिनसाठी जागा पुरवण्यात आली आहे . या लॅपटॉपची स्क्रीन १४ इंचाची असून त्याला १३६६ बाय ७६८ रेझोल्युशनचा एचडी डिस्प्ले पुरवण्यात आला आहे . या स्क्रीनचे वैशिष्टय़ म्हणजे सूर्यप्रकाशात वा घरातील उजेडात स्क्रीन सुस्पष्टपणे पाहता येते . अनेकदा स्क्रीनवर प्रतिबिंब उमटत असल्याने प्रत्यक्ष लॅपटॉप वापरताना अडचणींना तोंड द्यावे लागते . मात्र , ‘प्रीमियो’ हाताळताना ती गोष्ट जाणवत नाही . लॅपटॉपचा टचपॅड अतिशय व्यवस्थित असून त्याद्वारे ‘मल्टिटास्किंग’ही करता येते . या लॅपटॉपचे आणखी एक वैशिष्टय़ म्हणजे यातील ध्वनियंत्रणा अतिशय चांगली आहे . लॅपटॉपचा आणि त्यातील स्पीकरचा आकार लहान असला तरी आवाजाची तीव्रता चांगली आहे . अर्थात आकाराच्या मर्यादेमुळे हा आवाज काही वेळा किरटा वाटतो . ‘आयबॉल’ने प्रीमियोसोबत ‘विंडोज १०’ लोड करून दिले आहे . खरे तर २१९९९ रुपयांच्या किमतीत ‘विंडोज १०’ असलेला लॅपटॉप मिळणे सध्या कठीणच आहे . मात्र , प्रीमियोने ही गोष्ट खरी करून दाखवली आहे . यामध्ये ‘विंडोज १० होम’ आवृत्ती पुरवण्यात आली असली तरी , काही रक्कम भरून तुम्ही ‘विंडोज’ अद्ययावतही करू शकता . ‘प्रीमियो’मध्ये इंटेलचा पेंटियम क्वाडकोअर प्रोसेसर सर्व कामे करतो . मात्र , लॅपटॉपचा एकूण वेग पाहता हा ‘पेंटियम क्वाडकोअर प्रोसेसर’ असेल असे वाटत नाही . एका वेळी अनेक विंडो खुल्या असतानाही लॅपटॉप धिमा झाल्याचे अजिबात जाणवले नाही . सध्या ‘इंटेल आय ३ , ५ , ७’ या प्रोसेसरची चर्चा असताना हा प्रोसेसर अतिशय सक्षमपणे काम करतो , ही गोष्ट अतिशय समाधानकारक आहे . अर्थात यासाटी लॅपटॉपला चार जीबी रॅमची जोड पुरवण्यात आली आहे . त्यामुळे दिलेल्या आज्ञावली ‘प्रीमियो’ झटपट पार पाडतो . या लॅपटॉपमध्ये ३८ डब्ल्यूएच क्षमतेची लि - पॉलिमर बॅटरी पुरवण्यात आली आहे . ती अर्थातच पुरेशी ठरत नाही . मात्र , लॅपटॉप चार्जिग लवकर होत असल्याने याचा फारसा फटका जाणवत नाही . आयबॉल प्रीमियो हा भारतात २१ हजार ९९९ रुपयांत उपलब्ध आहे . सध्या १४ इंच आकाराचे लॅपटॉप याच किंमत श्रेणीत उपलब्ध आहेत . मात्र , दिसायला देखणा , कामात वेगवान असलेला ‘प्रीमियो’ त्या सर्वात निश्चितच उठून दिसतो . वैशिष्टय़े"
sports,"पॅरिस सेंट जर्मन अर्थात पीएसजीने अपेक्षेनुसार फ्रेंच लीग विजेतेपदाची पूर्तता केली , पण युरोपियन विजेतेपदाने या मोसमातही गुंगारा दिल्यामुळे सलग पाचव्या फ्रेंच विजेतेपदाची गोडी कमी झाली आहे . युरोपियन विजेतेपदाचा दुष्काळ संपवण्यासाठी पीएसजीने नेमारला २२ कोटी २० लाख युरो देऊन खरेदी केले होते , तरीही ते चॅंपियन्स लीगच्या उपउपांत्यपूर्व फेरीतच बाद झाले . फ्रेंच लीगमध्ये पीएसजीने बहुतेक लढती तीन गोलांच्या फरकाने जिंकल्या . हीच हुकुमत त्यांच्या प्रगतीच्या आड येत असल्याचे मानले जात आहे . त्यांनी दुसऱ्या क्रमांकावर असलेल्या मोनॅकोला ७ - १ असे हरवत जेतेपद निश्चित केले . पाच फेऱ्या शिल्लक असताना पीएसजी आणि मोनॅको यांच्यात १७ गुणांचा फरक आहे . फ्रान्समध्ये पीएसजीला आव्हानच नाही , याकडे स्पेनचा फुलबॅक युरी बेरुचिचे लक्ष वेधतो . फ्रेंच लीगचे माजी विजेते मोनॅकोही पीएसजीला माफक आव्हान देत नाहीत . संभाव्य उपविजेत्या मोनॅकोला पीएसजीने सलग चार लढतीत सहज हरवले आहे . जमा तसेच तोटाही फ्रेंच लीगमध्ये सलग ४० सामन्यांत अपराजित मोसमातील सोळा लढतींत तीन किंवा त्यापेक्षा जास्त गोलच्या फरकाने विजय नेमार नसतानाही कामगिरीत विशेष फरक नाही मार्गदर्शक उनाही एमेरी यांचे खेळाडूंबरोबर मित्रत्वाचे संबंध नेमारवर भर दिल्यामुळे अचूक संघ निवडण्यात अपयश"
entertainment,"बॉलिवूडचा मि . परफेक्शनिस्ट आमिर खानच्या ‘दंगल’ चित्रपटाने अभूतपूर्व यश मिळवले होते . या चित्रपटापासून प्रेरित होत त्यातील व्यक्तिरेखांवर आता केक तयार करण्यात आला असून , आतापर्यंतचा सर्वाधिक महागडा केक म्हणून त्याची गणना करण्यात येतेय . भारताच्या ७०व्या स्वातंत्र्य दिनाचे औचित्य साधत ५४ किलोची ही खाद्य कलाकृती तयार करण्यात आलाय . दुबई बेकरीत तयार करण्यात आलेला हा केक जगातील सर्वात महाग केक असल्याचे म्हटले जातेय . तब्बल २५ लाख रुपये किंमत असलेला ‘दंगल केक’ तयार करण्यासाठी ब्रॉडवे बेकरीतील १२०० केक आर्टिस्टि्सने जवळपास एक महिना काम केले . ब्लॉकबस्टर चित्रपट असलेल्या ‘दंगल’मध्ये महावीर फोगट यांची भूमिका साकारणाऱ्या आमिर खानची प्रतिकृती केकवर लावण्यात आली आहे . त्याचसोबत कुस्तीच्या आखाड्यात सराव करणाऱ्या छोट्या गीता आणि बबितादेखील यावर दाखवण्यात आल्या आहेत . वाचा : नागराज यांनी बिग बींसाठी खास हिंदीमध्ये लिहिली फेसबुक पोस्ट केक तयार केलेल्या बेकरीने याचा व्हिडिओ त्यांच्या फेसबुक पेजवर पोस्ट केला आहे . केक तयार करतानाची संपूर्ण कृती खरंच पाहण्याजोगी आहे . या केकची सजावट करण्यासाठी वापरण्यात आलेली प्रत्येक गोष्ट खाता येईल हे लक्षात घेऊनच ‘दंगल केक’ तयार करण्यात आलाय . यासाठी साखरेचे फॉनडन्ट , चॉकलेट स्पॉन्ज , चॉकलेट गनाश , बेल्जियन चॉकलेट , पाम शुगर आणि खाण्यायुक्त सोन्याचा वापर करण्यात आलाय . केकवरील कॉमनवेल्थ स्पर्धेचे सुवर्ण पदक तयार करण्यासाठी ७५ ग्रॅम सोने वापरण्यात आलेय . एकावेळी २४० लोक या केकचा आस्वाद घेऊ शकतात . वाचा : कोणाचे रेस्तराँ तर कोणाची एअरलाइन्स , जाणून घ्या साउथ स्टार्सचे साइड बिजनेस आपल्या चित्रपटापासून प्रेरित होऊन तयार करण्यात आलेला हा केक पाहून आमिरलाही आनंद होईल यात शंका नाही ."
sports,"ऑलिम्पिक कांस्यपदक विजेती मारवा अमरीचे मत भारतामध्ये होणारी प्रो - कुस्ती लीग हे आमच्यासारख्या खेळाडूंसाठी उत्तम व्यासपीठ आहे . या लीगमुळे कुस्ती विश्व एकत्र येत आहे , त्याचबरोबर जगभरातल्या नामवंत खेळाडूंचा खेळ आम्हाला पाहण्याचा योग येतो . ही लीग जिंकण्याचा माझा मानस आहे , पण या लीगमध्ये भारताची कांस्यपदक विजेत्या साक्षी मलिकचे कडवे आव्हान माझ्यापुढे असेल , असे मत रिओ ऑलिम्पिकमध्ये कांस्यपदक पटकावलेल्या टय़ुनिशियाच्या मारवा अमरीने व्यक्त केले . साक्षीचा सामना करण्यासाठी तू काही विशेष सराव केला आहेस का , असे विचारल्यावर मारवा म्हणाली की , ‘‘साक्षी ही फार जिद्दी खेळाडू आहे . कोणत्याही क्षणी ती सामन्याचा नूर पालटवू शकते , हे ऑलिम्पिकमध्ये साऱ्यांनीच पाहिले आहे . त्यामुळे तिच्याविरुद्ध खेळताना एक सेकंदही तिला वेळ देता कामा नये . जर तिच्याविरुद्ध विजय मिळवायचा असेल तर अधिक आक्रमक खेळ करावा लागेल . त्याचबरोबर प्रत्येक सेकंदाचा हिशेबही ठेवावा लागेल . ’’ काही दिवसांमध्ये सुरू होणारी प्रो - कुस्ती लीगसाठी मारवा भारतामध्ये आली आहे . मारवा ही ऑलिम्पिकमध्ये कुस्ती खेळात पदक पटकावणारी पहिली महिला ठरली होती . याबाबत विचारल्यावर मारवा म्हणाली की , ‘‘माझ्यासह देशासाठी ही अभिमानास्पद बाब होती ; पण मी पदक जिंकल्यावर आमच्या देशात महिला कुस्तीला चालना मिळायला मदत झाली आहे . आता बऱ्याच मुली कुस्तीकडे वळताना दिसत आहेत . एका ऑलिम्पिक पदकाने एवढा मोठा बदल आमच्या देशामध्ये घडला आहे ; पण त्यासाठी मी फक्त निमित्तमात्र आहे . ’’ ऑलिम्पिक पदक जिंकल्यावर देशात कशा प्रकारे स्वागत झाले , हे विचारल्यावर मारवा म्हणाली की , ‘‘पदक जिंकल्यावर मी देशात परतले आणि तब्बल महिनाभर या पदकविजयाचा जल्लोष सुरू होता . मला बऱ्याच ठिकाणी बोलावून सत्कार करण्यात आला , कारण देशवासीयांसाठी ही ऐतिहासिक गोष्ट होती . सरकारने खास पदक देऊन माझा विशेष सत्कार केला . सारे काही स्वप्नवत असेच माझ्यासाठी होते ; पण आता या साऱ्यामधून मी बाहेर आले आहे , कारण मला फक्त ऑलिम्पिक कांस्यपदकावर समाधान मानायचे नाही . यापुढेही मला मोठी मजल मारायची आहे . भारताची महिला कुस्तीपटू गीता फोगटच्या लग्नालाही मारवा उपस्थित राहणार आहे . याबद्दल विचारल्यावर मारवा म्हणाली की , ‘‘मला भारतातील लग्नांविषयी फार उत्सुकता आहे . मी आतापर्यंत बॉलीवूडच्या चित्रपटांमध्येच फक्त लग्न सोहळे पाहिले आहेत . त्यामुळे हा लग्न सोहळा पाहण्याची माझी फार उत्सुकता आहे . या सोहळ्यासाठी मी खास भारतीय पोशाखही बनवला आहे . ’’ सोनियाची विजयी सलामी हरिद्वार : जागतिक स्पर्धेतील रौप्यपदक विजेती सोनिया लथार हिने महिलांच्या राष्ट्रीय बॉक्सिंग स्पर्धेत धडाकेबाज प्रारंभ केला . तिने ५७ किलो गटात बिहारच्या सीमा कुमारी हिच्यावर सहज मात केली . सोनिया हिने केलेल्या आक्रमक खेळापुढे सीमा हिचा बचाव निष्प्रभ ठरला . पंचांनी तांत्रिक गुणांच्या आधारे सोनियाला विजयी केले . तिने आशियाई अजिंक्यपद स्पर्धेतही रौप्यपदक मिळविले होते . जागतिक स्पर्धेत दोन वेळा कांस्यपदक मिळविणारी खेळाडू छोटो लौरा हिला येथे पहिल्याच फेरीत पराभवाचा धक्का बसला . लौरा या ३३ वर्षीय खेळाडूला मणिपूरच्या संध्या राणी हिने २ - १ अशा फरकाने हरविले . महाविद्यालयीन जीवनात लौरा हिला एका अपघातात एका पायास कायमस्वरूपी दुखापत झाली होती . तरीही तिने बॉक्सिंगमध्ये करीअर करीत जागतिक स्तरावर कांस्यपदकांची कमाई केली होती . येथे लढत गमावल्यानंतर लौरा हिने सांगितले , पराभव झाल्यामुळे मी बिल्कुल निराश झालेली नाही . एका चांगल्या खेळाडूकडून मी पराभूत झाले याचाच मला आनंद झाला आहे . मी आता प्रशिक्षक म्हणूनच पूर्ण वेळ लक्ष केंद्रित करणार आहे . सध्या अंबाला येथे मी ४० हून अधिक मुलींना बॉक्सिंग शिकवित आहे . माजी आशियाई रौप्यपदक विजेती पवित्रा हिला ६४ किलो गटात पश्चिम बंगालच्या डॉली सिंग हिच्याकडून पुढे चाल मिळाली . माजी राष्ट्रीय विजेती प्रीति बेनिवाल हिने ६० किलो गटात विजयी प्रारंभ केला . तिने कर्नाटकच्या पूजाकुमारी हिचा पराभव केला . अंकुश दहिया उप - उपांत्यपूर्व फेरीत नवी दिल्ली : आशियाई स्पध्रेत रौप्यपदक जिंकणाऱ्या अंकुश दहियाने रशियात सुरू असलेल्या एआयबीए युवा विश्व अजिंक्यपद स्पध्रेच्या उप - उपांत्यपूर्व फेरीत प्रवेश केला . अंकुशने जर्मनीच्या निक बिएरवर ३ - २ असा निसटता विजय मिळवला आणि यंदाच्या स्पध्रेत अंतिम १६ मध्ये प्रवेश करणाऱ्या पहिल्या भारतीय खेळाडूचा मानही पटकावला . अंकुश पदकनिश्चितीपासून दोन विजय दूर आहे . तत्पूर्वी झालेल्या सामन्यात आशियाई स्पध्रेत रौप्यपदक जिंकणाऱ्या आशीषने ( ५४ किलो ) , सचिन ( ४९ किलो ) आणि रेयाल पूरी ( ८१ किलो ) यांच्यासह अंतिम ३२ खेळाडूंमध्ये स्थान पटकावले . मात्र , अनवर ( ५२ किलो ) आणि इताश खान ( ५६ किलो ) यांना दुसऱ्या फेरीत पराभवाचा सामना करावा लागला . २०१४ साली झालेल्या युवा अजिंक्यपद स्पध्रेत भारताला कांस्यपदकावर समाधान मानावे लागले होते ."
