,movie_title,content_rating,genres,runtime,top_critic,review_content,recommended
283875,Deliver Us from Evil,R,"Action & Adventure, Horror",117.0,True,"Director Scott Derrickson and his co-writer, Paul Harris Boardman, deliver a routine procedural with unremarkable frights.",0
161408,Barbara,PG-13,"Art House & International, Drama",105.0,False,"Somehow, in this stirring narrative, Barbara manages to keep hold of her principles, and her humanity and courage, and battles to save a dissident teenage girl whose life the Communists are trying to destroy.",1
423417,Horrible Bosses,R,Comedy,98.0,False,"These bosses cannot justify either murder or lasting comic memories, fatally compromising a farce that could have been great but ends up merely mediocre.",0
583216,Money Monster,R,Drama,98.0,False,A satire about television that feels like it was made by the kind of people who claim they don't even watch TV.,0
165537,Battle Royale,NR,"Action & Adventure, Art House & International, Drama, Mystery & Suspense",114.0,False,Battle Royale is The Hunger Games not diluted for young audiences.,1
601977,"Mystery, Alaska",R,"Comedy, Drama",118.0,False,"Virtually all of Kelley's worst tendencies run unchecked in Mystery, Alaska.",0
1114313,Wonder,PG,Drama,113.0,False,Sometimes you're simply powerless to resist being emotionally manipulated by truly good film about compassion.,1
1114030,Woman Walks Ahead,R,Drama,102.0,True,"As a New York widow who travels to South Dakota in 1889 to paint Sitting Bull, the stellar Jessica Chastain can't save this Hollywoodized frontier biopic from grave historical inaccuracy.",0
192491,Blood Simple,R,"Drama, Mystery & Suspense",97.0,False,"There is not one wasted shot in this arty film, nor one that is not a design student's delight... [the camera] gets down on the floor and shows us the dust swirling around a pair of boots and under a door.",1
620011,O Som ao Redor (Neighbouring Sounds),NR,"Art House & International, Drama",131.0,True,"Similar to the slow-creep style of Dogtooth director Giorgos Lanthimos, the narrative unfolds with escalating tension, the cause of which is heard and felt but not always seen.",1
110134,Ad Astra,PG-13,"Mystery & Suspense, Science Fiction & Fantasy",124.0,False,The ponderousness that is supposed to make the film feel deep merely makes it feel soggy.,0
820314,Skyfall,PG-13,"Action & Adventure, Mystery & Suspense",143.0,False,"Skyfall is not simply one of the very best Bond films, it's one of the year's best movies, period.",1
481162,Julieta,R,"Art House & International, Drama",96.0,True,"Almodvar has directed what's basically a melodrama as if it were a thriller-a fascinating experiment that doesn't always work as intended, but creates a useful dissonance en route to a powerfully open-ended conclusion.",1
283500,Delgo,PG,"Animation, Science Fiction & Fantasy",90.0,False,"Just try figuring out the audience for the movie, because the violence is too much for kids under 8, while anyone over 8 will be turned off by the idiotic humor.",0
