ShapeName,Profile,Midcurve,Profile_brep,Midcurve_brep
I,"[[5.0, 5.0], [10.0, 5.0], [10.0, 20.0], [5.0, 20.0]]","[[7.5, 5.0], [7.5, 20.0]]","{""Points"": [[5.0, 5.0], [10.0, 5.0], [10.0, 20.0], [5.0, 20.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[7.5, 5.0], [7.5, 20.0]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
L,"[[5.0, 5.0], [10.0, 5.0], [10.0, 30.0], [35.0, 30.0], [35.0, 35.0], [5.0, 35.0]]","[[7.5, 5.0], [7.5, 32.5], [35.0, 32.5]]","{""Points"": [[5.0, 5.0], [10.0, 5.0], [10.0, 30.0], [35.0, 30.0], [35.0, 35.0], [5.0, 35.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5]]}","{""Points"": [[7.5, 5.0], [7.5, 32.5], [35.0, 32.5]], ""Lines"": [[0, 1], [1, 2]], ""Segments"": [[0, 1]]}"
Plus,"[[0.0, 25.0], [10.0, 25.0], [10.0, 45.0], [15.0, 45.0], [15.0, 25.0], [25.0, 25.0], [25.0, 20.0], [15.0, 20.0], [15.0, 0.0], [10.0, 0.0], [10.0, 20.0], [0.0, 20.0]]","[[12.5, 0.0], [12.5, 22.5], [12.5, 45.0], [0.0, 22.5], [25.0, 22.5]]","{""Points"": [[0.0, 25.0], [10.0, 25.0], [10.0, 45.0], [15.0, 45.0], [15.0, 25.0], [25.0, 25.0], [25.0, 20.0], [15.0, 20.0], [15.0, 0.0], [10.0, 0.0], [10.0, 20.0], [0.0, 20.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[12.5, 0.0], [12.5, 22.5], [12.5, 45.0], [0.0, 22.5], [25.0, 22.5]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T,"[[0.0, 25.0], [25.0, 25.0], [25.0, 20.0], [15.0, 20.0], [15.0, 0.0], [10.0, 0.0], [10.0, 20.0], [0.0, 20.0]]","[[12.5, 0.0], [12.5, 22.5], [25.0, 22.5], [0.0, 22.5]]","{""Points"": [[0.0, 25.0], [25.0, 25.0], [25.0, 20.0], [15.0, 20.0], [15.0, 0.0], [10.0, 0.0], [10.0, 20.0], [0.0, 20.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[12.5, 0.0], [12.5, 22.5], [25.0, 22.5], [0.0, 22.5]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
I_scaled_2,"[[10.0, 10.0], [20.0, 10.0], [20.0, 40.0], [10.0, 40.0]]","[[15.0, 10.0], [15.0, 40.0]]","{""Points"": [[10.0, 10.0], [20.0, 10.0], [20.0, 40.0], [10.0, 40.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[15.0, 10.0], [15.0, 40.0]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
L_scaled_2,"[[10.0, 10.0], [20.0, 10.0], [20.0, 60.0], [70.0, 60.0], [70.0, 70.0], [10.0, 70.0]]","[[15.0, 10.0], [15.0, 65.0], [70.0, 65.0]]","{""Points"": [[10.0, 10.0], [20.0, 10.0], [20.0, 60.0], [70.0, 60.0], [70.0, 70.0], [10.0, 70.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5]]}","{""Points"": [[15.0, 10.0], [15.0, 65.0], [70.0, 65.0]], ""Lines"": [[0, 1], [1, 2]], ""Segments"": [[0, 1]]}"
Plus_scaled_2,"[[0.0, 50.0], [20.0, 50.0], [20.0, 90.0], [30.0, 90.0], [30.0, 50.0], [50.0, 50.0], [50.0, 40.0], [30.0, 40.0], [30.0, 0.0], [20.0, 0.0], [20.0, 40.0], [0.0, 40.0]]","[[25.0, 0.0], [25.0, 45.0], [25.0, 90.0], [0.0, 45.0], [50.0, 45.0]]","{""Points"": [[0.0, 50.0], [20.0, 50.0], [20.0, 90.0], [30.0, 90.0], [30.0, 50.0], [50.0, 50.0], [50.0, 40.0], [30.0, 40.0], [30.0, 0.0], [20.0, 0.0], [20.0, 40.0], [0.0, 40.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[25.0, 0.0], [25.0, 45.0], [25.0, 90.0], [0.0, 45.0], [50.0, 45.0]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T_scaled_2,"[[0.0, 50.0], [50.0, 50.0], [50.0, 40.0], [30.0, 40.0], [30.0, 0.0], [20.0, 0.0], [20.0, 40.0], [0.0, 40.0]]","[[25.0, 0.0], [25.0, 45.0], [50.0, 45.0], [0.0, 45.0]]","{""Points"": [[0.0, 50.0], [50.0, 50.0], [50.0, 40.0], [30.0, 40.0], [30.0, 0.0], [20.0, 0.0], [20.0, 40.0], [0.0, 40.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[25.0, 0.0], [25.0, 45.0], [50.0, 45.0], [0.0, 45.0]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
I_scaled_3,"[[15.0, 15.0], [30.0, 15.0], [30.0, 60.0], [15.0, 60.0]]","[[22.5, 15.0], [22.5, 60.0]]","{""Points"": [[15.0, 15.0], [30.0, 15.0], [30.0, 60.0], [15.0, 60.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[22.5, 15.0], [22.5, 60.0]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
L_scaled_3,"[[15.0, 15.0], [30.0, 15.0], [30.0, 90.0], [105.0, 90.0], [105.0, 105.0], [15.0, 105.0]]","[[22.5, 15.0], [22.5, 97.5], [105.0, 97.5]]","{""Points"": [[15.0, 15.0], [30.0, 15.0], [30.0, 90.0], [105.0, 90.0], [105.0, 105.0], [15.0, 105.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5]]}","{""Points"": [[22.5, 15.0], [22.5, 97.5], [105.0, 97.5]], ""Lines"": [[0, 1], [1, 2]], ""Segments"": [[0, 1]]}"
Plus_scaled_3,"[[0.0, 75.0], [30.0, 75.0], [30.0, 135.0], [45.0, 135.0], [45.0, 75.0], [75.0, 75.0], [75.0, 60.0], [45.0, 60.0], [45.0, 0.0], [30.0, 0.0], [30.0, 60.0], [0.0, 60.0]]","[[37.5, 0.0], [37.5, 67.5], [37.5, 135.0], [0.0, 67.5], [75.0, 67.5]]","{""Points"": [[0.0, 75.0], [30.0, 75.0], [30.0, 135.0], [45.0, 135.0], [45.0, 75.0], [75.0, 75.0], [75.0, 60.0], [45.0, 60.0], [45.0, 0.0], [30.0, 0.0], [30.0, 60.0], [0.0, 60.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[37.5, 0.0], [37.5, 67.5], [37.5, 135.0], [0.0, 67.5], [75.0, 67.5]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T_scaled_3,"[[0.0, 75.0], [75.0, 75.0], [75.0, 60.0], [45.0, 60.0], [45.0, 0.0], [30.0, 0.0], [30.0, 60.0], [0.0, 60.0]]","[[37.5, 0.0], [37.5, 67.5], [75.0, 67.5], [0.0, 67.5]]","{""Points"": [[0.0, 75.0], [75.0, 75.0], [75.0, 60.0], [45.0, 60.0], [45.0, 0.0], [30.0, 0.0], [30.0, 60.0], [0.0, 60.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[37.5, 0.0], [37.5, 67.5], [75.0, 67.5], [0.0, 67.5]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
I_scaled_4,"[[20.0, 20.0], [40.0, 20.0], [40.0, 80.0], [20.0, 80.0]]","[[30.0, 20.0], [30.0, 80.0]]","{""Points"": [[20.0, 20.0], [40.0, 20.0], [40.0, 80.0], [20.0, 80.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 0]], ""Segments"": [[0, 1, 2, 3]]}","{""Points"": [[30.0, 20.0], [30.0, 80.0]], ""Lines"": [[0, 1]], ""Segments"": [[0]]}"
L_scaled_4,"[[20.0, 20.0], [40.0, 20.0], [40.0, 120.0], [140.0, 120.0], [140.0, 140.0], [20.0, 140.0]]","[[30.0, 20.0], [30.0, 130.0], [140.0, 130.0]]","{""Points"": [[20.0, 20.0], [40.0, 20.0], [40.0, 120.0], [140.0, 120.0], [140.0, 140.0], [20.0, 140.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5]]}","{""Points"": [[30.0, 20.0], [30.0, 130.0], [140.0, 130.0]], ""Lines"": [[0, 1], [1, 2]], ""Segments"": [[0, 1]]}"
Plus_scaled_4,"[[0.0, 100.0], [40.0, 100.0], [40.0, 180.0], [60.0, 180.0], [60.0, 100.0], [100.0, 100.0], [100.0, 80.0], [60.0, 80.0], [60.0, 0.0], [40.0, 0.0], [40.0, 80.0], [0.0, 80.0]]","[[50.0, 0.0], [50.0, 90.0], [50.0, 180.0], [0.0, 90.0], [100.0, 90.0]]","{""Points"": [[0.0, 100.0], [40.0, 100.0], [40.0, 180.0], [60.0, 180.0], [60.0, 100.0], [100.0, 100.0], [100.0, 80.0], [60.0, 80.0], [60.0, 0.0], [40.0, 0.0], [40.0, 80.0], [0.0, 80.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]}","{""Points"": [[50.0, 0.0], [50.0, 90.0], [50.0, 180.0], [0.0, 90.0], [100.0, 90.0]], ""Lines"": [[0, 1], [4, 1], [2, 1], [3, 1]], ""Segments"": [[0], [1], [2], [3]]}"
T_scaled_4,"[[0.0, 100.0], [100.0, 100.0], [100.0, 80.0], [60.0, 80.0], [60.0, 0.0], [40.0, 0.0], [40.0, 80.0], [0.0, 80.0]]","[[50.0, 0.0], [50.0, 90.0], [100.0, 90.0], [0.0, 90.0]]","{""Points"": [[0.0, 100.0], [100.0, 100.0], [100.0, 80.0], [60.0, 80.0], [60.0, 0.0], [40.0, 0.0], [40.0, 80.0], [0.0, 80.0]], ""Lines"": [[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]], ""Segments"": [[0, 1, 2, 3, 4, 5, 6, 7]]}","{""Points"": [[50.0, 0.0], [50.0, 90.0], [100.0, 90.0], [0.0, 90.0]], ""Lines"": [[0, 1], [1, 2], [3, 1]], ""Segments"": [[0], [1], [2]]}"
