A1	A2	A3	A8	A9	A10	A11	A12	A14	A15	R1
1	30.83	0	1.25	1	0	1	1	202	0	1
0	58.67	4.46	3.04	1	0	6	1	43	560	1
0	24.5	0.5	1.5	1	1	0	1	280	824	1
1	27.83	1.54	3.75	1	0	5	0	100	3	1
1	20.17	5.625	1.71	1	1	0	1	120	0	1
1	32.08	4	2.5	1	1	0	0	360	0	1
1	33.17	1.04	6.5	1	1	0	0	164	31285	1
0	22.92	11.585	0.04	1	1	0	1	80	1349	1
1	54.42	0.5	3.96	1	1	0	1	180	314	1
1	42.5	4.915	3.165	1	1	0	0	52	1442	1
1	22.08	0.83	2.165	0	1	0	0	128	0	1
1	29.92	1.835	4.335	1	1	0	1	260	200	1
0	38.25	6	1	1	1	0	0	0	0	1
1	48.08	6.04	0.04	0	1	0	1	0	2690	1
0	45.83	10.5	5	1	0	7	0	0	0	1
1	36.67	4.415	0.25	1	0	10	0	320	0	1
1	28.25	0.875	0.96	1	0	3	0	396	0	1
0	23.25	5.875	3.17	1	0	10	1	120	245	1
1	21.83	0.25	0.665	1	1	0	0	0	0	1
0	19.17	8.585	0.75	1	0	7	1	96	0	1
1	25	11.25	2.5	1	0	17	1	200	1208	1
1	23.25	1	0.835	1	1	0	1	300	0	1
0	47.75	8	7.875	1	0	6	0	0	1260	1
0	27.42	14.5	3.085	1	0	1	1	120	11	1
0	41.17	6.5	0.5	1	0	3	0	145	0	1
0	15.83	0.585	1.5	1	0	2	1	100	0	1
0	47	13	5.165	1	0	9	0	0	0	1
1	56.58	18.5	15	1	0	17	0	0	0	1
1	57.42	8.5	7	1	0	3	1	0	0	1
1	42.08	1.04	5	1	0	6	0	500	10000	1
1	29.25	14.79	5.04	1	0	5	0	168	0	1
1	42	9.79	7.96	1	0	8	1	0	0	1
1	49.5	7.585	7.585	1	0	15	0	0	5000	1
0	36.75	5.125	5	1	1	0	0	0	4000	1
0	22.58	10.75	0.415	1	0	5	0	0	560	1
1	27.83	1.5	2	1	0	11	0	434	35	1
1	27.25	1.585	1.835	1	0	12	0	583	713	1
0	23	11.75	0.5	1	0	2	0	300	551	1
1	27.75	0.585	0.25	1	0	2	1	260	500	1
1	54.58	9.415	14.415	1	0	11	0	30	300	1
1	34.17	9.17	4.5	1	0	12	0	0	221	1
