year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,1,1,517,2,830,11,UA,N14228,1545,EWR,IAH,227,1400,5,17
2013,1,1,533,4,850,20,UA,N24211,1714,LGA,IAH,227,1416,5,33
2013,1,1,542,2,923,33,AA,N619AA,1141,JFK,MIA,160,1089,5,42
2013,1,1,554,-6,812,-25,DL,N668DN,461,LGA,ATL,116,762,5,54
2013,1,1,554,-4,740,12,UA,N39463,1696,EWR,ORD,150,719,5,54
2013,1,1,558,-2,753,8,AA,N3ALAA,301,LGA,ORD,138,733,5,58
2013,1,1,558,-2,924,7,UA,N29129,194,JFK,LAX,345,2475,5,58
2013,1,1,558,-2,923,-14,UA,N53441,1124,EWR,SFO,361,2565,5,58
2013,1,1,559,-1,941,31,AA,N3DUAA,707,LGA,DFW,257,1389,5,59
2013,1,1,559,-1,854,-8,UA,N76515,1187,EWR,LAS,337,2227,5,59
2013,1,1,602,-8,812,-8,DL,N971DL,1919,LGA,MSP,170,1020,6,2
2013,1,1,606,-4,858,-12,AA,N633AA,1895,EWR,MIA,152,1085,6,6
2013,1,1,606,-4,837,-8,DL,N3739P,1743,JFK,ATL,128,760,6,6
2013,1,1,607,0,858,-17,UA,N53442,1077,EWR,MIA,157,1085,6,7
2013,1,1,611,11,945,14,UA,N532UA,303,JFK,SFO,366,2586,6,11
2013,1,1,615,0,833,-9,DL,N326NB,575,EWR,ATL,120,746,6,15
2013,1,1,622,-8,1017,3,US,N807AW,245,EWR,PHX,342,2133,6,22
2013,1,1,623,13,920,5,AA,N3EMAA,1837,LGA,MIA,153,1096,6,23
2013,1,1,623,-4,933,1,UA,N459UA,496,LGA,IAH,229,1416,6,23
2013,1,1,627,-3,1018,0,US,N535UW,27,JFK,PHX,330,2153,6,27
2013,1,1,628,-2,1137,-3,AA,N3BAAA,413,JFK,SJU,192,1598,6,28
2013,1,1,628,-2,1016,29,UA,N33289,1665,EWR,LAX,366,2454,6,28
2013,1,1,629,-1,824,14,AA,N3CYAA,303,LGA,ORD,140,733,6,29
2013,1,1,629,-1,824,-9,US,N426US,1019,EWR,CLT,91,529,6,29
2013,1,1,635,0,1028,48,AA,N3GKAA,711,LGA,DFW,248,1389,6,35
2013,1,1,643,-3,922,-18,UA,N497UA,556,EWR,PBI,146,1023,6,43
2013,1,1,643,-2,837,-11,US,N178US,926,EWR,CLT,91,529,6,43
2013,1,1,644,8,931,-9,UA,N75435,1701,EWR,FLL,151,1065,6,44
2013,1,1,646,1,910,-6,UA,N569UA,883,LGA,DEN,243,1620,6,46
2013,1,1,646,1,1023,-7,UA,N38727,1496,EWR,SNA,380,2434,6,46
2013,1,1,653,-7,936,-33,DL,N327NW,1383,LGA,PBI,149,1035,6,53
2013,1,1,655,0,1021,-9,DL,N3763D,1415,JFK,SLC,294,1990,6,55
2013,1,1,655,-5,1037,-8,DL,N705TW,1865,JFK,SFO,362,2586,6,55
2013,1,1,655,-5,1002,-18,DL,N997DL,2003,LGA,MIA,161,1096,6,55
2013,1,1,656,-4,854,4,AA,N4WNAA,305,LGA,ORD,143,733,6,56
2013,1,1,656,-3,949,-10,AA,N5FMAA,1815,JFK,MCO,142,944,6,56
2013,1,1,656,-4,948,-23,UA,N24212,1115,EWR,TPA,156,997,6,56
2013,1,1,657,-3,959,-14,DL,N318NB,1879,LGA,FLL,164,1076,6,57
2013,1,1,658,-2,944,5,DL,N6703D,1547,LGA,ATL,126,762,6,58
2013,1,1,659,-1,1008,-7,AA,N3EKAA,2279,LGA,MIA,159,1096,6,59
2013,1,1,659,-6,907,-6,DL,N998DL,831,LGA,DTW,105,502,6,59
2013,1,1,659,-1,959,-9,UA,N838UA,960,EWR,RSW,164,1068,6,59
2013,1,1,701,1,1123,-31,UA,N77296,1203,EWR,SJU,188,1608,7,1
2013,1,1,709,9,852,20,UA,N26226,1092,LGA,ORD,135,733,7,9
2013,1,1,712,-3,1023,-12,AA,N3ETAA,825,JFK,FLL,159,1069,7,12
2013,1,1,715,2,911,21,UA,N841UA,544,EWR,ORD,156,719,7,15
2013,1,1,723,-2,1013,-4,UA,N514UA,962,EWR,PBI,153,1023,7,23
2013,1,1,724,-6,1111,31,AA,N541AA,715,LGA,DFW,254,1389,7,24
2013,1,1,724,-1,1020,-10,AS,N594AS,11,EWR,SEA,338,2402,7,24
2013,1,1,725,-5,1052,12,AA,N4WRAA,2083,EWR,DFW,238,1372,7,25
2013,1,1,727,-3,959,7,UA,N37462,1162,EWR,DEN,254,1605,7,27
2013,1,1,728,-4,1041,3,UA,N488UA,473,LGA,IAH,238,1416,7,28
2013,1,1,732,47,1011,30,UA,N37456,1111,EWR,MCO,145,937,7,32
2013,1,1,739,-6,918,-12,AA,N4WPAA,309,LGA,ORD,137,733,7,39
2013,1,1,739,0,1104,26,UA,N37408,1479,EWR,IAH,249,1400,7,39
2013,1,1,743,13,1107,7,AA,N338AA,33,JFK,LAX,358,2475,7,43
2013,1,1,743,13,1059,3,DL,N3760C,495,JFK,SEA,349,2422,7,43
2013,1,1,745,0,1135,10,AA,N336AA,59,JFK,SFO,378,2586,7,45
2013,1,1,746,0,1119,-10,UA,N24224,1668,EWR,SFO,373,2565,7,46
2013,1,1,752,-3,1041,-18,DL,N325US,2263,LGA,MCO,140,950,7,52
2013,1,1,752,2,1025,-4,UA,N511UA,477,LGA,DEN,249,1620,7,52
2013,1,1,752,-7,955,-4,US,N543UW,1733,LGA,CLT,96,544,7,52
2013,1,1,753,-2,1056,-14,AA,N3HMAA,2267,LGA,MIA,157,1096,7,53
2013,1,1,754,-5,1039,-2,DL,N935DL,2047,LGA,ATL,126,762,7,54
2013,1,1,759,-1,1057,-30,DL,N955DL,1843,JFK,MIA,158,1089,7,59
2013,1,1,800,0,1022,8,DL,N317US,2119,LGA,MSP,171,1020,8,0
2013,1,1,803,-7,903,-22,AA,N3GEAA,1838,JFK,BOS,38,187,8,3
2013,1,1,803,3,1132,-12,UA,N510UA,223,JFK,SFO,369,2586,8,3
2013,1,1,804,-6,1103,-13,DL,N947DL,1959,JFK,MCO,147,944,8,4
2013,1,1,807,-3,1043,0,DL,N308DE,269,JFK,ATL,126,760,8,7
2013,1,1,810,-5,1100,-28,DL,N349NW,2395,LGA,PBI,149,1035,8,10
2013,1,1,811,-4,1026,10,US,N654AW,675,EWR,CLT,96,529,8,11
2013,1,1,813,-2,1103,7,DL,N375NC,914,LGA,DEN,267,1620,8,13
2013,1,1,820,-10,940,-14,DL,N324US,27,JFK,BOS,36,187,8,20
2013,1,1,820,0,1249,-40,DL,N900PC,301,JFK,SJU,182,1598,8,20
2013,1,1,823,-2,1019,-5,US,N655AW,487,JFK,CLT,96,541,8,23
2013,1,1,823,0,1151,16,UA,N39728,1223,EWR,DFW,250,1372,8,23
2013,1,1,824,-6,1027,2,AA,N573AA,1855,LGA,STL,169,888,8,24
2013,1,1,826,71,1136,51,AA,N3GVAA,443,JFK,MIA,160,1089,8,26
2013,1,1,826,9,1145,-13,UA,N76522,1480,EWR,SFO,357,2565,8,26
2013,1,1,828,5,1150,7,UA,N76528,1506,EWR,LAX,359,2454,8,28
2013,1,1,829,-1,1152,-8,UA,N554UA,443,JFK,LAX,360,2475,8,29
2013,1,1,829,-1,1117,-23,UA,N75425,1592,EWR,MCO,145,937,8,29
2013,1,1,830,0,1018,3,AA,N4YCAA,313,LGA,ORD,137,733,8,30
2013,1,1,835,0,1210,20,AA,N3BDAA,717,LGA,DFW,249,1389,8,35
2013,1,1,840,-5,1311,-39,AA,N5FSAA,1357,JFK,SJU,188,1598,8,40
2013,1,1,840,-5,1053,-9,DL,N926DL,2304,JFK,DTW,108,509,8,40
2013,1,1,848,-3,1155,19,UA,N27724,1741,EWR,JAC,275,1874,8,48
2013,1,1,851,-8,1102,-3,DL,N361NB,869,EWR,DTW,106,488,8,51
2013,1,1,851,11,1215,9,UA,N39297,1626,EWR,SAN,367,2425,8,51
2013,1,1,855,-4,1143,-2,DL,N646DL,1747,LGA,ATL,129,762,8,55
2013,1,1,856,-4,1226,6,AA,N324AA,1,JFK,LAX,358,2475,8,56
2013,1,1,856,-4,1222,-10,DL,N970DL,2143,LGA,MIA,158,1096,8,56
2013,1,1,856,1,1140,-23,UA,N75426,1296,EWR,PBI,150,1023,8,56
2013,1,1,857,-8,1107,-13,DL,N321NB,181,LGA,DTW,110,502,8,57
2013,1,1,857,-3,1124,-9,DL,N371NB,485,EWR,ATL,125,746,8,57
2013,1,1,857,6,1157,-25,UA,N45440,1670,EWR,SEA,343,2402,8,57
2013,1,1,859,-1,1140,-24,DL,N360NB,1885,LGA,MCO,140,950,8,59
2013,1,1,900,0,1211,8,UA,N19130,1170,EWR,FLL,161,1065,9,0
2013,1,1,902,-1,1048,3,UA,N820UA,580,EWR,ORD,145,719,9,2
2013,1,1,904,-2,1207,-19,UA,N77525,1401,EWR,MIA,158,1085,9,4
2013,1,1,906,23,1134,9,UA,N17139,1643,EWR,DEN,246,1605,9,6
2013,1,1,908,-7,1004,-29,US,N959UW,1467,LGA,PHL,32,96,9,8
2013,1,1,908,0,1228,9,UA,N12216,1220,EWR,IAH,233,1400,9,8
2013,1,1,909,59,1331,16,AA,N5EXAA,655,JFK,STT,184,1623,9,9
2013,1,1,912,12,1241,21,AA,N5CRAA,647,JFK,MIA,166,1089,9,12
2013,1,1,912,6,1219,-7,UA,N38403,1601,EWR,MIA,159,1085,9,12
2013,1,1,913,-5,1346,-30,UA,N24715,1519,EWR,STT,189,1634,9,13
2013,1,1,914,-6,1244,4,AA,N517AA,1589,EWR,DFW,238,1372,9,14
2013,1,1,914,14,1058,15,UA,N810UA,783,EWR,CLE,85,404,9,14
2013,1,1,917,-3,1313,28,AA,N596AA,721,LGA,DFW,258,1389,9,17
2013,1,1,921,21,1237,10,DL,N713TW,120,JFK,LAX,333,2475,9,21
2013,1,1,926,-2,1233,13,UA,N27733,1597,EWR,EGE,287,1726,9,26
2013,1,1,927,-3,1231,-26,DL,N951DL,1335,LGA,RSW,166,1080,9,27
2013,1,1,930,25,1218,9,UA,N57439,1148,EWR,TPA,149,997,9,30
2013,1,1,931,1,1121,13,UA,N479UA,255,LGA,ORD,154,733,9,31
2013,1,1,936,-4,1235,-16,DL,N975DL,2137,LGA,TPA,159,1010,9,36
2013,1,1,936,-9,1257,-12,DL,N900DE,1903,LGA,SRQ,169,1047,9,36
2013,1,1,940,-5,1119,-11,AA,N4WJAA,319,LGA,ORD,133,733,9,40
2013,1,1,953,32,1320,39,UA,N586UA,222,EWR,LAX,346,2454,9,53
2013,1,1,955,-5,1336,11,US,N642AW,75,EWR,PHX,324,2133,9,55
2013,1,1,956,-4,1241,0,DL,N956DL,1847,LGA,ATL,129,762,9,56
2013,1,1,957,144,1056,123,UA,N534UA,856,EWR,BOS,37,200,9,57
2013,1,1,959,-3,1313,-6,DL,N965DL,2379,LGA,FLL,151,1076,9,59
2013,1,1,959,-1,1151,-15,US,N765US,1177,LGA,CLT,90,544,9,59
2013,1,1,1003,4,1408,39,US,N541UW,196,JFK,PHX,342,2153,10,3
2013,1,1,1005,5,1239,5,UA,N81449,1625,EWR,DEN,254,1605,10,5
2013,1,1,1009,-6,1219,-10,DL,N933DL,2319,LGA,MSP,160,1020,10,9
2013,1,1,1010,-5,1204,-6,US,N162UW,1103,EWR,CLT,90,529,10,10
2013,1,1,1010,-5,1225,11,US,N712US,1441,JFK,CLT,97,541,10,10
2013,1,1,1011,-4,1246,-21,DL,N399DA,1529,JFK,LAS,320,2248,10,11
2013,1,1,1025,5,1356,26,AA,N3FXAA,731,LGA,DFW,247,1389,10,25
2013,1,1,1025,34,1258,-4,UA,N437UA,501,EWR,MCO,137,937,10,25
2013,1,1,1026,-4,1351,11,AA,N328AA,19,JFK,LAX,356,2475,10,26
2013,1,1,1028,2,1350,11,UA,N76508,1004,LGA,IAH,237,1416,10,28
2013,1,1,1029,-1,1427,32,AA,N325AA,179,JFK,SFO,389,2586,10,29
2013,1,1,1031,1,1323,-11,UA,N77258,1294,EWR,FLL,157,1065,10,31
2013,1,1,1033,16,1130,-6,UA,N849UA,779,EWR,BOS,42,200,10,33
2013,1,1,1037,7,1221,11,AA,N581AA,321,LGA,ORD,133,733,10,37
2013,1,1,1038,8,1223,21,UA,N423UA,985,EWR,ORD,149,719,10,38
2013,1,1,1044,-1,1352,1,UA,N667UA,455,EWR,IAH,229,1400,10,44
2013,1,1,1044,3,1339,-11,UA,N76503,1060,EWR,RSW,157,1068,10,44
2013,1,1,1047,-8,1359,-6,AA,N3AVAA,739,LGA,DFW,230,1389,10,47
2013,1,1,1047,-3,1401,-9,DL,N3748Y,1275,JFK,SLC,295,1990,10,47
2013,1,1,1054,-5,1326,-13,DL,N920DE,1647,LGA,ATL,129,762,10,54
2013,1,1,1056,-4,1407,-6,DL,N917DL,2185,LGA,TPA,158,1010,10,56
2013,1,1,1058,-2,1210,-6,US,N951UW,2171,LGA,DCA,50,214,10,58
2013,1,1,1059,6,1342,-9,UA,N451UA,369,EWR,LAS,325,2227,10,59
2013,1,1,1103,3,1410,-11,DL,N339NW,2071,LGA,MIA,155,1096,11,3
2013,1,1,1105,18,1428,23,UA,N521UA,688,EWR,SFO,356,2565,11,5
2013,1,1,1109,-6,1402,-23,AA,N3GSAA,2099,LGA,MIA,157,1096,11,9
2013,1,1,1112,12,1440,2,UA,N517UA,285,JFK,SFO,364,2586,11,12
2013,1,1,1113,-2,1318,3,DL,N320NB,1031,LGA,DTW,104,502,11,13
2013,1,1,1114,134,1447,145,UA,N76502,1086,LGA,IAH,248,1416,11,14
2013,1,1,1123,13,1410,34,UA,N587UA,405,LGA,DEN,256,1620,11,23
2013,1,1,1124,-1,1445,0,DL,N376NW,1171,LGA,RSW,169,1080,11,24
2013,1,1,1125,-5,1325,-7,US,N169UW,1085,LGA,CLT,94,544,11,25
2013,1,1,1127,-3,1504,16,UA,N518UA,703,JFK,LAX,357,2475,11,27
2013,1,1,1127,-2,1421,-4,UA,N14118,1143,EWR,PBI,156,1023,11,27
2013,1,1,1128,-1,1422,-15,UA,N496UA,987,EWR,TPA,156,997,11,28
2013,1,1,1130,5,1301,-4,AA,N3DEAA,327,LGA,ORD,127,733,11,30
2013,1,1,1130,-1,1345,3,DL,N343NB,2219,LGA,MSP,166,1020,11,30
2013,1,1,1135,-5,1429,-16,AA,N3EYAA,1623,EWR,MIA,156,1085,11,35
2013,1,1,1137,-3,1445,-6,DL,N999DN,2175,LGA,PBI,153,1035,11,37
2013,1,1,1143,-2,1512,5,UA,N39726,1010,EWR,SNA,371,2434,11,43
2013,1,1,1153,-7,1450,-39,DL,N712TW,863,JFK,LAX,330,2475,11,53
2013,1,1,1155,-5,1517,7,AA,N322AA,3,JFK,LAX,353,2475,11,55
2013,1,1,1155,-5,1507,-12,DL,N969DL,1443,LGA,FLL,160,1076,11,55
2013,1,1,1155,-5,1441,1,DL,N904DL,1947,LGA,ATL,133,762,11,55
2013,1,1,1157,-3,1452,-4,UA,N13113,1197,EWR,MCO,151,937,11,57
2013,1,1,1158,-7,1530,10,AA,N426AA,743,LGA,DFW,248,1389,11,58
2013,1,1,1158,-2,1338,7,UA,N588UA,701,LGA,ORD,142,733,11,58
2013,1,1,1200,0,1408,12,US,N755US,1443,JFK,CLT,102,541,12,0
2013,1,1,1202,3,1645,-8,UA,N38403,1663,EWR,SJU,187,1608,12,2
2013,1,1,1205,5,1503,-2,UA,N39418,1461,EWR,IAH,221,1400,12,5
2013,1,1,1217,-1,1525,-4,UA,N573UA,391,EWR,SFO,345,2565,12,17
2013,1,1,1219,-1,1415,0,AA,N545AA,1757,LGA,STL,161,888,12,19
2013,1,1,1219,-6,1451,-9,DL,N342NB,1715,LGA,MSY,195,1183,12,19
2013,1,1,1228,4,1631,27,UA,N38459,1114,EWR,PHX,339,2133,12,28
2013,1,1,1231,-7,1449,3,DL,N920DL,1131,LGA,DTW,108,502,12,31
2013,1,1,1231,2,1523,-6,UA,N402UA,428,EWR,FLL,156,1065,12,31
2013,1,1,1237,-8,1340,-10,AA,N3EGAA,1850,JFK,BOS,40,187,12,37
2013,1,1,1240,-5,1554,-6,AA,N3BUAA,2253,LGA,MIA,156,1096,12,40
2013,1,1,1245,0,1616,1,DL,N711ZX,2174,JFK,SLC,298,1990,12,45
2013,1,1,1245,-4,1722,-38,DL,N670DN,315,JFK,SJU,188,1598,12,45
2013,1,1,1248,-2,1607,0,UA,N26210,1280,LGA,IAH,238,1416,12,48
2013,1,1,1252,7,1624,34,AA,N3FTAA,745,LGA,DFW,243,1389,12,52
2013,1,1,1253,41,1524,48,UA,N576UA,754,EWR,DEN,252,1605,12,53
2013,1,1,1255,-5,1541,4,DL,N644DL,781,LGA,ATL,132,762,12,55
2013,1,1,1255,-4,1501,-1,US,N540UW,1459,LGA,CLT,100,544,12,55
2013,1,1,1255,-5,1401,-8,US,N957UW,2128,LGA,BOS,38,184,12,55
2013,1,1,1258,-2,1459,19,AA,N511AA,329,LGA,ORD,147,733,12,58
2013,1,1,1301,21,1633,53,AA,N544AA,1853,EWR,DFW,252,1372,13,1
2013,1,1,1301,6,1629,26,UA,N825UA,765,EWR,DFW,243,1372,13,1
2013,1,1,1302,2,1553,-8,UA,N78511,1435,EWR,MIA,158,1085,13,2
2013,1,1,1306,26,1622,27,AA,N5DMAA,2041,JFK,MIA,163,1089,13,6
2013,1,1,1314,-1,1507,2,US,N177US,1615,EWR,CLT,95,529,13,14
2013,1,1,1320,0,1625,-11,UA,N58101,1425,EWR,LAX,334,2454,13,20
2013,1,1,1323,23,1651,43,DL,N3736C,1185,EWR,SLC,295,1969,13,23
2013,1,1,1325,-5,1606,1,DL,N318US,2043,JFK,ATL,131,760,13,25
2013,1,1,1327,-2,1624,-5,UA,N847UA,906,EWR,FLL,157,1065,13,27
2013,1,1,1339,-6,1642,-23,AA,N3EMAA,1073,LGA,MIA,161,1096,13,39
2013,1,1,1341,-4,1709,4,AA,N339AA,117,JFK,LAX,362,2475,13,41
2013,1,1,1343,13,1658,18,AA,N3CFAA,753,LGA,DFW,235,1389,13,43
2013,1,1,1344,0,2005,21,UA,N76065,15,EWR,HNL,656,4963,13,44
2013,1,1,1354,-5,1452,-22,DL,N344NB,2068,JFK,BOS,37,187,13,54
2013,1,1,1356,57,1538,60,UA,N17128,32,EWR,ORD,135,719,13,56
