bedrooms,sqft,neighborhood_encoded,price
3,2625,1,530003
1,2155,2,860713
2,1498,1,312222
4,2960,1,610351
3,2586,0,249810
2,1072,0,89232
4,3242,0,300657
4,2985,2,1205620
4,3354,1,658250
2,2705,1,510707
3,2379,0,246729
2,1813,2,764595
4,3305,2,1325909
3,3112,0,326777
1,731,0,75327
1,676,0,67117
2,1692,1,354186
4,2951,1,589846
4,3463,1,700611
1,1036,1,213025
3,2323,1,457579
2,1705,0,187381
4,3413,1,683976
3,3042,1,600064
3,3031,1,617248
2,1959,2,772123
2,1803,0,182723
1,1393,1,279463
2,763,1,170888
3,3108,0,320920
3,2957,1,594025
4,3499,0,366166
5,3490,0,374853
3,2211,2,895767
4,2830,2,1136155
3,3340,2,1319322
4,3064,1,600823
2,1317,0,129122
2,1907,1,374257
2,975,1,194195
3,3367,0,340550
4,2358,1,483545
3,1263,0,128243
3,2548,2,1029498
2,2393,1,481567
3,1639,1,301168
2,929,1,173710
2,2548,1,509439
2,2109,1,405655
3,2840,0,295999
1,2108,2,867161
3,3071,2,1249681
2,2201,2,879198
2,2227,2,915161
3,3142,1,633630
2,1770,2,704944
2,989,0,91699
1,683,0,64763
4,2790,0,277177
3,2399,1,485356
3,2642,1,533809
2,1218,1,245646
1,995,2,405554
1,642,1,147260
2,1617,1,339643
3,2311,1,442927
2,1738,0,137491
4,1869,2,765615
3,3222,0,304697
1,1610,2,641629
2,2091,2,820848
3,2873,0,263270
1,1750,0,184122
4,2404,2,976987
4,3101,1,615552
3,3354,1,634934
1,1027,2,403606
4,3287,0,338577
2,2027,1,385216
2,1349,0,139650
2,1931,2,774170
3,3442,1,700089
3,2029,1,410594
3,1553,0,143704
2,2437,1,507349
1,1296,1,257822
1,820,1,164590
1,974,1,181801
2,971,2,383751
3,1041,1,197928
1,1003,0,98706
2,2459,1,519476
1,1127,2,431221
1,1602,1,297197
4,3201,2,1306468
3,1974,1,394660
2,2536,1,499164
1,1100,1,236599
1,1158,0,107716
2,719,0,101290
3,1090,0,122169
1,1408,1,275281
1,1113,1,255960
2,857,1,164314
2,950,2,393131
3,1936,0,201089
2,1198,1,261126
2,1656,2,687823
3,2060,0,209480
4,2602,0,252899
1,714,1,150700
4,2918,0,285634
3,2421,2,1001601
2,837,2,338848
4,3133,1,625120
4,3271,2,1315170
1,777,2,291593
2,1403,0,127726
4,2938,2,1197206
3,2770,1,547147
2,1135,2,440296
1,1207,2,491850
2,1674,1,354586
3,2005,0,214284
3,2393,0,257241
2,1670,1,324648
1,1941,2,756073
4,2768,2,1133720
1,706,0,66760
3,1332,1,265638
3,2669,1,556723
4,3196,0,331943
2,2084,0,217238
3,2143,1,464075
1,911,2,355747
2,1897,1,395318
3,2145,1,432855
2,1303,1,266629
1,1381,1,300127
2,1694,2,687218
1,658,2,272274
1,1534,1,323888
1,1213,1,238126
1,1550,1,298412
2,947,1,175728
2,3183,0,290805
2,2321,1,497043
3,2569,1,500252
4,2889,0,289581
2,2045,1,406848
1,852,2,346411
4,2158,0,232036
2,2302,0,245107
2,2762,1,545654
2,1852,2,740293
1,970,0,102239
1,1423,1,281870
2,1653,2,687310
3,2473,0,257665
2,2255,1,464023
1,1633,1,337543
4,3461,1,713802
3,2357,1,477115
1,1288,1,239148
2,895,0,97495
1,1043,2,408430
1,1313,1,255671
1,1066,0,116395
