expt,run,speed
1,1,1,299850
2,1,2,299740
3,1,3,299900
4,1,4,300070
5,1,5,299930
6,1,6,299850
7,1,7,299950
8,1,8,299980
9,1,9,299980
10,1,10,299880
11,1,11,3e+05
12,1,12,299980
13,1,13,299930
14,1,14,299650
15,1,15,299760
16,1,16,299810
17,1,17,3e+05
18,1,18,3e+05
19,1,19,299960
20,1,20,299960
21,2,1,299960
22,2,2,299940
23,2,3,299960
24,2,4,299940
25,2,5,299880
26,2,6,299800
27,2,7,299850
28,2,8,299880
29,2,9,299900
30,2,10,299840
31,2,11,299830
32,2,12,299790
33,2,13,299810
34,2,14,299880
35,2,15,299880
36,2,16,299830
37,2,17,299800
38,2,18,299790
39,2,19,299760
40,2,20,299800
41,3,1,299880
42,3,2,299880
43,3,3,299880
44,3,4,299860
45,3,5,299720
46,3,6,299720
47,3,7,299620
48,3,8,299860
49,3,9,299970
50,3,10,299950
51,3,11,299880
52,3,12,299910
53,3,13,299850
54,3,14,299870
55,3,15,299840
56,3,16,299840
57,3,17,299850
58,3,18,299840
59,3,19,299840
60,3,20,299840
61,4,1,299890
62,4,2,299810
63,4,3,299810
64,4,4,299820
65,4,5,299800
66,4,6,299770
67,4,7,299760
68,4,8,299740
69,4,9,299750
70,4,10,299760
71,4,11,299910
72,4,12,299920
73,4,13,299890
74,4,14,299860
75,4,15,299880
76,4,16,299720
77,4,17,299840
78,4,18,299850
79,4,19,299850
80,4,20,299780
81,5,1,299890
82,5,2,299840
83,5,3,299780
84,5,4,299810
85,5,5,299760
86,5,6,299810
87,5,7,299790
88,5,8,299810
89,5,9,299820
90,5,10,299850
91,5,11,299870
92,5,12,299870
93,5,13,299810
94,5,14,299740
95,5,15,299810
96,5,16,299940
97,5,17,299950
98,5,18,299800
99,5,19,299810
100,5,20,299870
