DAY	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
1-Jul	98	86	91	84	89	84	90	73	82	91	93	95	85	95	87	92	105	82	90	85
2-Jul	97	90	88	82	91	87	90	81	81	89	93	85	87	90	84	94	93	85	93	87
3-Jul	97	93	91	87	93	87	87	87	86	86	93	82	91	89	83	95	99	76	87	79
4-Jul	90	91	91	88	95	84	89	86	88	86	91	86	90	91	85	92	98	77	84	85
5-Jul	89	84	91	90	96	86	93	80	90	89	90	88	88	80	88	90	100	83	86	84
6-Jul	93	84	89	91	96	87	93	84	90	82	81	87	82	87	89	90	98	83	87	84
7-Jul	93	75	93	82	96	87	89	87	89	76	80	82	88	86	94	94	93	79	89	90
8-Jul	91	87	95	86	91	89	89	90	87	88	82	82	90	82	97	94	95	88	90	90
9-Jul	93	84	95	87	96	91	90	89	88	89	84	89	89	84	96	91	97	88	90	91
10-Jul	93	87	91	87	99	87	91	84	89	78	84	86	87	84	90	92	95	87	87	93
11-Jul	90	84	91	82	96	90	84	84	90	83	90	85	89	86	93	95	90	80	85	92
12-Jul	91	88	86	77	93	90	77	86	89	86	91	87	93	90	90	95	84	87	90	93
13-Jul	93	86	88	73	91	86	82	87	91	84	91	86	85	84	91	97	90	78	89	92
14-Jul	93	90	87	81	93	82	88	84	91	87	91	84	88	89	91	90	90	85	90	90
15-Jul	82	91	91	81	93	82	91	86	84	84	91	81	89	89	94	80	90	86	86	89
16-Jul	91	91	87	86	93	84	93	88	84	85	91	86	89	90	89	85	92	87	83	88
17-Jul	96	89	90	82	91	87	93	88	84	89	93	89	88	88	87	87	93	91	86	93
18-Jul	95	89	91	87	97	88	93	88	87	90	93	89	90	82	83	89	93	87	82	92
19-Jul	96	89	95	88	100	90	93	88	84	89	96	88	91	80	90	94	91	90	85	91
20-Jul	99	90	91	90	99	87	91	88	88	89	93	86	94	82	91	91	84	86	76	93
21-Jul	91	89	91	90	93	84	95	89	89	90	93	86	95	86	94	92	90	87	82	93
22-Jul	95	84	89	91	96	87	91	86	89	91	91	79	92	84	95	94	95	85	83	92
23-Jul	91	87	91	93	87	90	89	81	93	91	86	82	87	87	97	92	97	84	88	88
24-Jul	93	88	91	93	82	84	87	82	95	90	87	87	88	88	94	92	97	86	87	91
25-Jul	84	89	86	91	75	82	84	84	89	92	88	87	89	90	95	90	98	89	88	90
26-Jul	84	89	88	93	82	88	86	87	87	94	93	87	87	92	95	94	98	86	89	91
27-Jul	82	91	80	93	88	90	89	87	84	92	95	90	90	90	93	94	97	82	92	92
28-Jul	79	91	88	93	91	84	91	89	89	90	96	89	93	89	90	90	97	86	90	94
29-Jul	90	89	89	93	89	89	91	88	87	83	91	87	92	85	94	93	94	86	82	93
